,Draft Year,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
0,2005,31,ATL,Salim Stoudamire,University of Arizona,3,157,2672,1260,214,164,.407,.366,.882,17.0,8.0,1.4,1.0,2.2,.040,-5.1,-2.1
1,2005,32,LAC,Daniel Ewing,Duke University,2,127,1683,431,158,174,.389,.295,.780,13.3,3.4,1.2,1.4,0.8,.024,-3.7,-0.7
2,2005,33,NOH,Brandon Bass,Louisiana State University,12,758,16410,6575,3448,608,.499,.207,.832,21.6,8.7,4.5,0.8,42.8,.125,-1.1,3.7
3,2005,34,UTA,C.J. Miles,0,14,838,17121,8044,1999,902,.412,.359,.810,20.4,9.6,2.4,1.1,30.0,.084,-1.0,4.3
4,2005,35,POR,Ricky Sanchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2005,36,MIL,Ersan Ilyasova,0,11,745,17823,7885,4330,855,.443,.365,.773,23.9,10.6,5.8,1.1,44.9,.121,-0.2,8.3
6,2005,37,LAL,Ronny Turiaf,Gonzaga University,10,473,8020,2209,1757,618,.533,.000,.636,17.0,4.7,3.7,1.3,19.2,.115,1.0,6.0
7,2005,38,ORL,Travis Diener,Marquette University,5,179,2660,854,243,432,.388,.353,.847,14.9,4.8,1.4,2.4,5.6,.102,-1.8,0.1
8,2005,39,LAL,Von Wafer,Florida State University,6,200,2475,1054,234,146,.420,.325,.751,12.4,5.3,1.2,0.7,3.3,.064,-3.2,-0.7
9,2005,40,GSW,Monta Ellis,0,12,833,29011,14858,2874,3856,.451,.314,.772,34.8,17.8,3.5,4.6,41.9,.069,-0.3,12.3
10,2005,41,TOR,Roko Ukic,0,2,85,987,341,78,165,.387,.189,.746,11.6,4.0,0.9,1.9,-0.2,-.007,-5.4,-0.8
11,2005,42,GSW,Chris Taft,University of Pittsburgh,1,17,144,47,36,2,.605,0,.167,8.5,2.8,2.1,0.1,0.5,.155,-1.3,0.0
12,2005,43,NJN,Mile Ilic,0,1,5,6,0,1,0,.000,0,0,1.2,0.0,0.2,0.0,-0.2,-1.264,-53.6,-0.1
13,2005,44,ORL,Martynas Andriuskevicius,0,1,6,9,0,4,0,.000,0,0,1.5,0.0,0.7,0.0,0.0,.155,0.1,0.0
14,2005,45,PHI,Louis Williams,0,14,936,23018,13305,2058,3094,.421,.349,.839,24.6,14.2,2.2,3.3,59.4,.124,0.2,12.9
15,2005,46,IND,Erazem Lorbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2005,47,MIN,Bracey Wright,Indiana University,2,26,325,129,39,20,.405,.324,.794,12.5,5.0,1.5,0.8,0.5,.068,-3.7,-0.1
17,2005,48,SEA,Mickael Gelabale,0,3,145,2348,670,330,115,.470,.316,.815,16.2,4.6,2.3,0.8,3.0,.062,-1.9,0.0
18,2005,49,WAS,Andray Blatche,0,9,564,12462,5706,3024,798,.467,.237,.725,22.1,10.1,5.4,1.4,19.2,.074,-0.3,5.4
19,2005,50,BOS,Ryan Gomes,Providence College,8,487,13463,4926,2239,712,.445,.349,.799,27.6,10.1,4.6,1.5,19.4,.069,-1.3,2.3
20,2005,51,UTA,Robert Whaley,Walsh University,1,23,212,49,43,17,.404,0,.500,9.2,2.1,1.9,0.7,0.0,.004,-3.5,-0.1
21,2005,52,DEN,Axel Hervelle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2005,53,BOS,Orien Greene,University of Louisiana at Lafayette,4,131,1555,326,195,155,.387,.212,.642,11.9,2.5,1.5,1.2,-0.7,-.022,-3.8,-0.7
23,2005,54,NYK,Dijon Thompson,"University of California, Los Angeles",2,16,93,45,19,3,.425,.308,.875,5.8,2.8,1.2,0.2,0.2,.102,-4.3,-0.1
24,2005,55,SEA,Lawrence Roberts,Mississippi State University,2,87,1150,334,310,35,.452,.000,.688,13.2,3.8,3.6,0.4,2.5,.106,-1.4,0.2
25,2005,56,DET,Amir Johnson,0,14,870,18323,6102,4692,1073,.570,.332,.673,21.1,7.0,5.4,1.2,55.3,.145,2.5,20.8
26,2005,57,PHO,Marcin Gortat,0,12,806,20691,7951,6407,915,.551,.150,.680,25.7,9.9,7.9,1.1,61.3,.142,0.7,14.2
27,2005,58,TOR,Uros Slokar,0,1,20,72,38,14,1,.538,.500,.692,3.6,1.9,0.7,0.1,0.1,.042,-7.0,-0.1
28,2005,59,ATL,Cenk Akyol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2005,60,DET,Alex Acker,Pepperdine University,2,30,234,81,29,16,.370,.320,.500,7.8,2.7,1.0,0.5,-0.2,-.043,-6.9,-0.3
30,2006,31,POR,James White,University of Cincinnati,3,67,583,182,68,35,.438,.340,.676,8.7,2.7,1.0,0.5,0.8,.062,-3.4,-0.2
31,2006,32,HOU,Steve Novak,Marquette University,11,467,5657,2177,591,132,.437,.430,.877,12.1,4.7,1.3,0.3,14.5,.123,-0.9,1.6
32,2006,33,ATL,Solomon Jones,University of South Florida,8,281,3092,839,654,99,.467,.111,.717,11.0,3.0,2.3,0.4,5.0,.078,-2.9,-0.7
33,2006,34,LAC,Paul Davis,Michigan State University,4,82,702,217,158,32,.402,.000,.732,8.6,2.6,1.9,0.4,0.5,.035,-4.7,-0.5
34,2006,35,TOR,P.J. Tucker,University of Texas at Austin,8,582,16725,4304,3323,824,.422,.361,.744,28.7,7.4,5.7,1.4,30.0,.086,0.9,12.2
35,2006,36,MIN,Craig Smith,Boston College,6,403,6826,3080,1567,322,.553,.037,.661,16.9,7.6,3.9,0.8,16.0,.113,-1.5,0.9
